,carat,cut,color,clarity,depth,table,price
200,0.7,3,E,SI1,59.9,63.0,2777
201,0.7,4,E,SI1,61.3,58.0,2777
202,0.7,4,E,SI1,60.5,58.0,2777
203,0.7,2,E,VS2,64.1,59.0,2777
204,0.98,1,H,SI2,67.9,60.0,2777
205,0.78,4,F,SI1,62.4,58.0,2777
206,0.7,3,E,SI1,63.2,60.0,2777
207,0.52,5,F,VVS1,61.3,55.0,2778
208,0.73,3,H,VS2,60.8,56.0,2779
209,0.74,5,E,SI1,61.7,56.0,2779
210,0.7,3,F,VS2,63.6,57.0,2780
211,0.77,4,G,VS2,61.2,58.0,2780
212,0.71,5,F,VS2,62.1,54.0,2780
213,0.74,5,G,VS1,61.5,55.0,2780
214,0.7,5,G,VS1,61.4,59.0,2780
215,1.01,4,F,I1,61.8,60.0,2781
216,0.77,5,H,SI1,62.2,56.0,2781
217,0.78,5,H,SI1,61.2,56.0,2781
218,0.72,3,H,VS1,60.6,63.0,2782
219,0.53,3,D,VVS2,57.5,64.0,2782
220,0.76,5,G,VS2,61.3,56.0,2782
221,0.7,2,E,VS1,57.2,62.0,2782
222,0.7,4,E,VS1,62.9,60.0,2782
223,0.75,3,D,SI2,63.1,58.0,2782
224,0.72,5,D,SI1,60.8,57.0,2782
225,0.72,4,D,SI1,62.7,59.0,2782
226,0.7,4,D,SI1,62.8,60.0,2782
227,0.84,1,G,SI1,55.1,67.0,2782
228,0.75,4,F,SI1,61.4,59.0,2782
229,0.52,5,F,IF,62.2,55.0,2783
230,0.72,3,F,VS2,63.0,54.0,2784
231,0.79,3,H,VS1,63.7,56.0,2784
232,0.72,3,F,VS2,63.6,58.0,2787
233,0.51,5,F,VVS1,62.0,57.0,2787
234,0.64,5,D,VS1,61.5,56.0,2787
235,0.7,3,H,VVS1,60.5,60.0,2788
236,0.83,3,I,VS1,61.1,60.0,2788
237,0.76,5,I,VVS2,61.8,56.0,2788
238,0.71,2,D,VS2,63.3,56.0,2788
239,0.77,2,G,VS1,59.4,64.0,2788
240,0.71,5,F,SI1,62.5,55.0,2788
241,1.01,1,E,I1,64.5,58.0,2788
242,1.01,4,H,SI2,62.7,59.0,2788
243,0.77,2,F,SI1,64.2,52.0,2789
244,0.76,2,E,SI1,63.7,54.0,2789
245,0.76,4,E,SI1,60.4,58.0,2789
246,0.76,4,E,SI1,61.8,58.0,2789
247,1.05,3,J,SI2,63.2,56.0,2789
248,0.81,5,G,SI2,61.6,56.0,2789
249,0.7,5,E,SI1,61.6,56.0,2789
250,0.55,5,G,IF,60.9,57.0,2789
251,0.81,2,G,SI2,61.0,61.0,2789
252,0.63,4,E,VVS2,62.1,57.0,2789
253,0.63,4,E,VVS1,60.9,60.0,2789
254,0.77,4,H,VS1,61.3,60.0,2789
255,1.05,1,J,SI2,65.8,59.0,2789
256,0.64,5,G,IF,61.3,56.0,2790
257,0.76,4,I,VVS1,58.8,59.0,2790
258,0.83,5,F,SI2,62.3,55.0,2790
259,0.71,4,F,VS1,60.1,62.0,2790
260,0.71,4,F,VS1,61.8,59.0,2790
261,0.87,3,I,SI1,63.6,55.8,2791
262,0.73,5,E,SI1,62.2,56.0,2791
263,0.71,4,E,SI1,59.2,59.0,2792
264,0.71,4,E,SI1,61.8,59.0,2792
265,0.71,5,E,SI1,61.3,55.0,2792
266,0.7,4,F,VS1,62.1,60.0,2792
267,0.7,4,F,VS1,60.7,60.0,2792
268,0.76,4,H,VVS2,59.6,57.0,2792
269,0.7,5,F,VS1,62.2,56.0,2792
270,0.79,3,G,SI1,60.6,57.0,2793
271,0.7,3,E,VS2,62.9,57.0,2793
272,0.7,2,E,VS2,64.1,55.0,2793
273,0.76,5,I,VS2,61.3,56.0,2793
274,0.73,5,H,VS2,62.7,55.0,2793
275,0.79,3,E,SI1,63.2,56.0,2794
276,0.71,3,E,VS2,60.7,56.0,2795
277,0.81,4,I,VVS2,61.9,60.0,2795
278,0.81,5,F,SI2,62.6,55.0,2795
279,0.72,2,F,VS1,60.7,60.0,2795
280,0.72,4,D,SI2,62.0,60.0,2795
281,0.72,4,I,IF,63.0,57.0,2795
282,0.81,4,H,VS2,58.0,59.0,2795
283,0.72,4,G,VS2,62.9,57.0,2795
284,1.0,4,I,SI2,58.2,60.0,2795
285,0.73,2,E,SI1,63.2,58.0,2796
286,0.81,3,H,SI2,61.3,59.0,2797
287,0.81,3,E,SI1,60.3,60.0,2797
288,0.71,4,D,SI1,62.7,60.0,2797
289,0.71,4,D,SI1,61.3,58.0,2797
290,0.71,4,D,SI1,61.6,60.0,2797
291,0.57,5,F,VVS2,61.9,55.0,2797
292,0.51,5,D,VVS1,61.7,56.0,2797
293,0.72,5,G,VS2,61.9,58.0,2797
294,0.74,5,H,VS1,61.8,58.0,2797
295,0.74,5,H,VS1,61.6,56.0,2797
296,0.7,1,G,VVS1,58.8,66.0,2797
297,0.8,4,F,SI2,61.0,57.0,2797
298,1.01,1,E,SI2,67.4,60.0,2797
299,0.8,3,H,VS2,63.4,60.0,2797
300,0.77,5,I,VS1,61.5,59.0,2798
301,0.83,3,E,SI2,58.0,62.0,2799
302,0.82,5,F,SI2,62.4,54.0,2799
303,0.78,5,D,SI1,61.9,57.0,2799
304,0.6,3,G,IF,61.6,56.0,2800
305,0.9,2,I,SI2,62.2,59.0,2800
306,0.7,4,E,VS1,62.2,58.0,2800
307,0.9,3,I,SI2,61.3,56.0,2800
308,0.83,5,G,SI1,62.3,57.0,2800
309,0.83,5,G,SI1,61.8,57.0,2800
310,0.83,3,H,SI1,62.5,59.0,2800
311,0.74,4,G,VS1,62.9,60.0,2800
312,0.79,5,I,VS1,61.8,59.0,2800
313,0.61,5,G,IF,62.3,56.0,2800
314,0.76,1,G,VS1,59.0,70.0,2800
315,0.96,5,F,I1,60.7,55.0,2801
316,0.73,5,F,VS2,62.5,55.0,2801
317,0.73,4,F,VS2,62.7,58.0,2801
318,0.75,5,H,SI1,60.4,57.0,2801
319,0.71,4,F,VS2,62.1,58.0,2801
320,0.71,2,F,VS2,57.8,60.0,2801
321,0.71,2,F,VS2,63.8,58.0,2801
322,0.71,4,F,VS2,62.8,57.0,2801
323,1.04,4,G,I1,62.2,58.0,2801
324,1.0,4,J,SI2,62.3,58.0,2801
325,0.87,3,G,SI2,59.9,58.0,2802
326,0.53,5,F,IF,61.9,54.0,2802
327,0.72,4,E,VS2,63.0,55.0,2802
328,0.72,4,F,VS1,62.4,58.0,2802
329,0.7,3,F,VS2,62.9,58.0,2803
330,0.74,3,E,SI1,63.5,56.0,2803
331,0.71,5,G,VS2,61.3,56.0,2803
332,0.73,5,E,SI1,60.6,54.0,2803
333,0.7,2,G,VS1,65.1,58.0,2803
334,0.71,4,F,VS2,62.6,58.0,2803
335,0.71,4,F,VS2,58.0,62.0,2803
336,0.71,4,G,VS1,62.4,61.0,2803
337,0.77,4,G,VS2,61.3,57.0,2803
338,0.71,4,G,VS2,59.9,60.0,2803
339,0.78,4,G,VS2,60.8,58.0,2803
340,0.71,3,G,VS1,63.5,55.0,2803
341,0.91,5,D,SI2,62.2,57.0,2803
342,0.71,3,E,VS2,63.8,58.0,2804
343,0.71,3,E,VS2,64.0,57.0,2804
344,0.8,3,E,SI2,62.5,56.0,2804
345,0.7,3,D,SI1,62.3,58.0,2804
346,0.72,5,F,VS1,61.7,57.0,2804
347,0.72,3,F,VS1,62.2,58.0,2804
348,0.82,5,H,VS2,61.5,56.0,2804
349,0.7,5,D,SI1,61.0,59.0,2804
350,0.72,5,D,SI1,62.2,56.0,2804
351,0.72,5,D,SI1,61.5,54.0,2804
352,0.9,1,I,SI1,67.3,59.0,2804
353,0.74,4,F,VS2,61.7,58.0,2805
354,0.74,4,F,VS2,61.9,56.0,2805
355,0.73,5,E,SI2,61.8,58.0,2805
356,0.57,1,E,VVS1,58.7,66.0,2805
357,0.73,4,F,VS2,62.5,57.0,2805
358,0.72,5,G,VS2,62.8,56.0,2805
359,0.74,1,F,VS2,61.1,68.0,2805
360,0.82,2,G,VS2,64.0,57.0,2805
361,0.81,3,G,SI1,62.5,60.0,2806
362,0.75,3,H,VVS1,60.6,58.0,2806
363,0.7,5,F,SI1,61.6,55.0,2806
364,0.71,3,F,VS1,62.2,58.0,2807
365,0.71,3,F,VS1,60.0,57.0,2807
366,0.93,4,J,SI2,61.9,57.0,2807
367,0.8,3,H,VS2,62.8,57.0,2808
368,0.7,3,F,VS1,62.0,57.0,2808
369,1.0,1,G,I1,66.4,59.0,2808
370,0.75,3,G,VS2,63.4,56.0,2808
371,0.58,5,E,VVS2,60.9,56.0,2808
372,0.73,3,D,SI1,63.1,57.0,2808
373,0.81,3,F,SI1,63.1,59.0,2809
374,0.81,4,D,SI2,59.2,57.0,2809
375,0.71,4,F,SI1,60.7,54.0,2809
376,1.2,1,F,I1,64.6,56.0,2809
377,0.7,3,F,VS1,61.8,56.0,2810
378,0.7,3,F,VS1,59.9,60.0,2810
379,0.74,5,D,SI2,61.7,55.0,2810
380,0.7,2,F,VS1,62.8,61.0,2810
381,0.8,2,G,SI1,62.7,57.0,2810
382,0.75,3,F,SI1,63.4,58.0,2811
383,0.83,3,D,SI1,63.5,54.0,2811
384,1.0,1,J,VS2,65.7,59.0,2811
385,0.99,1,I,SI2,68.1,56.0,2811
386,0.7,3,G,VS1,63.0,60.0,2812
387,0.7,3,F,VS2,59.5,58.0,2812
388,0.7,2,E,SI1,63.5,59.0,2812
389,0.7,3,F,VS2,61.7,58.0,2812
390,0.32,4,I,SI1,62.7,58.0,554
391,0.32,4,I,SI1,62.8,58.0,554
392,0.32,5,I,SI1,62.4,57.0,554
393,0.32,4,I,SI1,61.0,59.0,554
394,0.32,3,I,SI1,63.1,56.0,554
395,0.32,5,I,SI1,60.7,57.0,554
396,0.3,4,H,SI1,60.9,59.0,554
397,0.3,4,H,SI1,60.1,55.0,554
398,0.3,4,H,SI1,62.9,58.0,554
399,0.3,3,H,SI1,63.3,56.0,554
400,0.3,2,H,SI1,63.8,55.0,554
401,0.3,5,H,SI1,62.9,57.0,554
402,0.3,3,H,SI1,63.4,60.0,554
403,0.32,2,I,SI1,63.9,55.0,554
404,0.33,5,H,SI2,61.4,56.0,554
405,0.29,3,E,VS1,61.9,55.0,555
406,0.29,3,E,VS1,62.4,55.0,555
407,0.31,3,F,SI1,61.8,58.0,555
408,0.34,5,H,VS2,61.5,56.0,555
409,0.34,5,H,VS2,60.4,57.0,555
410,0.34,5,I,VS1,61.8,55.0,555
411,0.34,5,I,VS1,62.0,56.0,555
412,0.3,5,G,VS1,62.3,56.0,555
413,0.29,5,F,VS1,61.6,56.0,555
414,0.35,5,G,SI1,60.6,56.0,555
415,0.43,3,E,I1,58.4,62.0,555
416,0.32,3,F,VS2,61.4,58.0,556
417,0.36,5,I,VS2,61.9,56.0,556
418,0.3,5,G,VS2,62.0,56.0,556
419,0.26,5,E,VS1,61.5,57.0,556
420,0.7,3,F,VS2,62.3,58.0,2812
421,0.7,3,F,VS2,60.9,61.0,2812
422,0.71,5,D,SI1,62.4,57.0,2812
423,0.99,1,J,SI1,55.0,61.0,2812
424,0.73,4,E,VS2,58.6,60.0,2812
425,0.51,5,F,VVS1,62.0,57.0,2812
426,0.91,4,G,SI2,59.8,58.0,2813
427,0.84,3,E,SI1,63.4,55.0,2813
428,0.91,2,I,VS2,64.3,58.0,2813
429,0.76,4,E,SI1,62.2,59.0,2814
430,0.76,5,E,SI1,61.7,57.0,2814
431,0.75,4,E,SI1,61.1,59.0,2814
432,0.55,3,D,VVS1,61.5,56.0,2815
433,0.76,3,F,SI2,58.5,62.0,2815
434,0.74,4,G,VS1,61.7,58.0,2815
435,0.7,5,H,SI1,60.4,56.0,2815
436,0.7,5,H,SI1,61.4,56.0,2815
437,0.7,5,H,SI1,61.5,55.0,2815
438,0.7,5,H,SI1,61.4,56.0,2815
439,0.9,1,J,VS2,65.0,56.0,2815
440,0.95,1,F,SI2,56.0,60.0,2815
441,0.89,4,H,SI2,60.2,59.0,2815
442,0.72,4,E,VS2,58.3,58.0,2815
443,0.96,1,E,SI2,53.1,63.0,2815
444,1.02,4,G,I1,60.3,58.0,2815
445,0.78,3,I,VVS2,61.4,56.0,2816
446,0.61,5,G,VVS2,60.1,57.0,2816
447,0.71,2,D,VS1,63.4,55.0,2816
448,0.78,4,F,SI1,61.5,59.0,2816
449,0.87,5,H,SI2,62.7,56.0,2816
450,0.83,5,H,SI1,62.5,55.0,2816
451,0.71,4,E,SI1,61.3,56.0,2817
452,0.71,5,I,VVS2,60.2,56.0,2817
453,0.71,5,E,VS2,62.7,57.0,2817
454,0.71,4,E,VS2,62.3,58.0,2817
455,0.63,5,F,VVS2,61.5,56.0,2817
456,0.71,4,E,SI1,59.2,59.0,2817
457,0.71,4,E,SI1,61.8,59.0,2817
458,0.71,5,E,SI1,61.3,55.0,2817
459,0.71,4,E,SI1,61.4,58.0,2817
460,0.9,5,J,VS2,62.8,55.0,2817
461,0.71,2,E,SI1,62.8,64.0,2817
462,0.7,4,E,VS2,62.4,61.0,2818
463,0.7,4,E,VS2,59.3,60.0,2818
464,0.7,4,E,VS2,63.0,60.0,2818
465,1.0,4,H,I1,61.3,60.0,2818
466,0.86,4,F,SI2,59.3,62.0,2818
467,0.8,5,H,SI1,61.0,57.0,2818
468,0.7,5,E,VS1,62.9,57.0,2818
469,0.7,4,E,VS1,59.6,57.0,2818
470,0.7,4,F,VS2,61.8,60.0,2818
471,0.7,4,E,VS1,62.7,57.0,2818
472,1.0,1,H,SI2,65.3,62.0,2818
473,0.72,3,G,VS1,63.8,58.0,2819
474,0.72,5,H,VS1,62.3,56.0,2819
475,0.7,2,F,VS1,59.7,63.0,2819
476,0.86,2,F,SI2,64.3,60.0,2819
477,0.71,5,G,VS1,62.9,58.0,2820
478,0.75,5,E,SI1,62.0,57.0,2821
479,0.73,4,E,VS2,61.6,59.0,2821
480,0.53,5,E,VVS1,61.9,55.0,2821
481,0.73,4,E,SI1,61.3,58.0,2821
482,0.73,2,E,SI1,63.6,57.0,2821
483,0.73,4,E,SI1,59.6,61.0,2821
484,0.73,4,E,SI1,62.2,59.0,2821
485,0.73,4,D,SI1,61.7,55.0,2821
486,0.73,3,E,SI1,63.2,58.0,2821
487,0.7,4,E,VS1,60.8,60.0,2822
488,0.72,4,E,VS2,60.3,59.0,2822
489,0.72,4,E,VS2,60.9,60.0,2822
490,0.72,4,E,VS2,62.4,59.0,2822
491,0.7,4,E,VS2,60.2,60.0,2822
492,0.6,5,F,VVS2,62.0,55.0,2822
493,0.74,5,I,VVS1,60.8,57.0,2822
494,0.73,5,F,SI1,62.1,55.0,2822
495,0.71,4,D,SI1,62.7,60.0,2822
496,0.71,4,D,SI1,61.3,58.0,2822
497,0.7,4,D,SI1,60.2,60.0,2822
498,0.7,5,D,SI1,60.7,56.0,2822
499,0.9,2,J,VS2,64.0,61.0,2822
500,0.71,5,D,SI1,60.2,56.0,2822
501,0.7,4,E,VS2,61.5,59.0,2822
502,0.7,4,E,VS2,62.6,56.0,2822
503,0.7,5,D,SI1,59.7,58.0,2822
504,0.7,2,E,SI1,61.4,64.0,2822
505,0.7,5,D,SI1,62.5,57.0,2822
506,0.7,5,D,SI1,61.8,56.0,2822
507,0.7,4,E,VS2,60.7,62.0,2822
508,0.7,4,F,VS2,60.6,58.0,2822
509,0.7,5,D,SI1,61.4,54.0,2822
510,0.79,3,D,SI2,62.8,59.0,2823
511,0.9,2,I,SI1,63.8,57.0,2823
512,0.71,4,E,VS2,62.3,58.0,2823
513,0.61,5,E,VVS2,61.3,54.0,2823
514,0.9,1,H,SI2,65.8,54.0,2823
515,0.71,5,E,SI1,60.5,56.0,2823
516,0.71,4,D,VS2,61.2,59.0,2824
517,0.77,5,I,VVS2,62.1,57.0,2824
518,0.74,2,E,VS1,63.1,58.0,2824
519,0.82,5,F,SI2,62.4,54.0,2824
520,0.82,4,E,SI2,60.8,60.0,2824
521,0.71,4,G,VS1,62.2,59.0,2825
522,0.83,4,H,SI1,60.0,59.0,2825
523,0.73,3,G,VS1,62.0,57.0,2825
524,0.83,4,H,SI1,62.5,59.0,2825
525,1.17,4,J,I1,60.2,61.0,2825
526,0.91,1,H,SI2,61.3,67.0,2825
527,0.73,4,E,VS1,62.6,60.0,2826
528,0.7,2,E,VS1,57.2,59.0,2826
529,0.9,4,I,SI2,62.2,59.0,2826
530,0.7,4,E,VS1,62.2,58.0,2826
531,0.7,3,D,VS2,63.3,56.0,2826
532,0.7,4,E,VS1,59.4,61.0,2826
533,0.9,3,I,SI2,63.5,56.0,2826
534,0.78,4,F,SI1,60.8,60.0,2826
535,0.96,5,F,I1,60.7,55.0,2826
536,0.7,3,D,SI1,62.3,59.0,2827
537,0.72,2,D,VS2,64.0,54.0,2827
538,0.79,4,H,VVS2,62.6,58.0,2827
539,0.7,5,H,VVS1,61.6,57.0,2827
540,0.7,5,H,VVS1,62.3,55.0,2827
541,0.7,5,D,SI2,60.6,57.0,2828
542,1.01,4,H,SI2,61.6,61.0,2828
543,0.72,4,F,VS1,62.2,58.0,2829
544,0.8,2,E,SI2,63.7,54.0,2829
545,0.59,5,E,VVS1,62.0,56.0,2829
546,0.72,5,F,VS1,61.7,57.0,2829
547,0.75,4,E,SI2,61.9,57.0,2829
548,0.8,4,E,SI2,60.2,57.0,2829
549,0.71,3,E,VS2,62.7,59.0,2830
550,0.77,3,H,SI1,61.7,56.0,2830
551,0.97,5,F,I1,60.7,56.0,2830
552,0.53,5,F,VVS1,60.9,57.0,2830
553,0.53,5,F,VVS1,61.8,57.0,2830
554,0.8,5,I,VS2,62.1,54.4,2830
555,0.9,4,G,SI1,60.6,62.0,2830
556,0.76,3,E,SI2,60.8,60.0,2831
557,0.72,5,E,SI1,62.3,57.0,2831
558,0.75,5,E,SI1,61.4,57.0,2831
559,0.72,4,E,SI1,62.1,58.0,2831
560,0.79,5,G,SI1,61.8,56.0,2831
